"Proveedor","Estatus","Categoría","Subcategoria","Codigo","Descripcion","Udm","Metraje","Precio sistema","Precio regular","Descuento","Precio Remate","Comentarios"
"Castel","Descontinuado","Pisos","Pisos Castel","CAS2227","PISO AMANI GREY PULIDO 60X120 CAJA 1.44M2","M2",1.44," $984.43 "," $683.63 ",56.26%," $299.00 ",
"Castel","Descontinuado","Pisos","Pisos Castel","CAS100261","PISO GEORGIA ACQUA 80X160 2.56M2","M2",2.56," $2,586.43 "," $1,010.32 ",43.68%," $569.00 ",
"Castel","Descontinuado","Pisos","Pisos Castel","CAS100268","PISO OASIS BLANCO 120X120 2.88M2","M2",2.88," $2,962.00 "," $1,028.47 ",47.59%," $539.00 ",
"Castel","Descontinuado","Pisos","Pisos Castel","CAS21","PISO PORCELANICO REC IMPERIA NEGRO 60X60 1.44 M2 CAJA","M2",1.44," $1,099.00 "," $763.19 ",41.17%," $449.00 ",
"Castel","Descontinuado","Pisos","Pisos Castel","CAS14","PISO PORCELANICO REC TOSCANA 60X60 1.44 M2 CAJA ","M2",1.44," $876.00 "," $608.33 ",47.56%," $319.00 ",
"Castel","Descontinuado","Pisos","Pisos Castel","CAS08","PISO PORCELANICO REC BAVENO 60X60 1.44M2 CAJA","M2",1.44," $682.00 "," $473.61 ",55.87%," $209.00 ",
"Castel","Descontinuado","Pisos","Pisos Castel","CAS999993","PISO BUSAN PULIDO WHITE 60X120 1.44","M2",1.44," $984.43 "," $683.63 ",53.34%," $319.00 ",
"Castel","Descontinuado","Pisos","Pisos Castel","CAS100193","PISOS ECLIPSE NEGRO VP 60X120 1.44M2","M2",1.44," $489.00 "," $339.58 ",11.95%," $299.00 ",
"Castel","Descontinuado","Pisos","Pisos Castel","CAS100234","PISO BELLAGIO NEGRO 60X60 1.44M2","M2",1.44," $1,022.18 "," $709.85 ",52.24%," $339.00 ",
"Hydromagic","Descontinuado","Tinas","Tinas Hydromagic","HYDRO8","TINA DE  HIDROMASAJE PADUA I STATUS 1.20X.75.36 ","Pieza",1," $32,269.90 "," $32,269.90 ",25.63%," $23,999.00 ",
"Quarella&Decor","Descontinuado","Ceramica","Lavabos y Ovalines","QD052","OVALIN QUARELLA TIMOR 500X390X130 MM","Pieza",1," $2,468.00 "," $2,468.00 ",79.78%," $499.00 ",
"Quarella&Decor","Descontinuado","Ceramica","Lavabos y Ovalines","QD057","OVALIN QUARELLA GUINEA 405X405X145 MM","Pieza",1," $3,677.00 "," $3,677.00 ",86.43%," $499.00 ",
"Quarella&Decor","Descontinuado","Ceramica","Lavabos y Ovalines","QD059","OVALIN QUARELLA MUNA NEGRO 380X380X135 MM","Pieza",1," $3,011.00 "," $3,011.00 ",86.75%," $399.00 ",
"Quarella&Decor","Descontinuado","Ceramica","Lavabos y Ovalines","QD044","OVALIN QUARELLA  ARUBA 500X405X120MM","Pieza",1," $3,676.00 "," $3,676.00 ",83.71%," $599.00 ",
"Quarella&Decor","Descontinuado","Ceramica","Lavabos y Ovalines","QD055","OVALIN QUARELLA JAVA PLATA 360X360X125 MM","Pieza",1," $3,325.00 "," $3,325.00 ",88.00%," $399.00 ",
"Quarella&Decor","Descontinuado","Ceramica","Lavabos y Ovalines","QD054","OVALIN QUARELLA ANTILLAS 500X355X110 MM","Pieza",1," $3,223.00 "," $3,223.00 ",84.52%," $499.00 ",
"Quarella&Decor","Descontinuado","Ceramica","Lavabos y Ovalines","QD053","OVALIN QUARELLA SAMOA ORO 360X360X125MM","Pieza",1," $3,325.00 "," $3,325.00 ",84.99%," $499.00 ",
"Quarella&Decor","Descontinuado","Ceramica","Lavabos y Ovalines","QD072","OVALIN QUARELLA TASOS ORO 450X320X135","Pieza",1," $3,849.00 "," $3,849.00 ",89.63%," $399.00 ",
"Renujal","Descontinuado","Pisos ","Pisos Renujal ","CAS770","VOSS 66 GRAY 60X60 5PZ 1.80M2","Pieza",1.8," $556.00 "," $308.89 ",42.05%," $179.00 ",
"Renujal","Descontinuado","Pisos ","Pisos Renujal ","CAS100105","PISO CITY 66 IVORY 60X60 5PZ 1.80M2","Pieza",1.8," $509.00 "," $282.78 ",33.16%," $189.00 ",
"Renujal","Descontinuado","Pisos ","Pisos Renujal ","CAS10099","PISO CITY 66 OXFORD 60X60 5PZ 1.80M2","M2",1.8," $529.00 "," $293.89 ",32.29%," $199.00 ",
"Renujal","Descontinuado","Pisos ","Pisos Renujal ","CAS2001","PISO E-DIVA 44 BEIGE 47X47 9PZ 1.99M2","M2",1.99," $379.00 "," $190.45 ",37.52%," $119.00 ",
"Renujal","Descontinuado","Pisos ","Pisos Renujal ","CAS100106","PISO DOMINIQUE 26 WHITE MATE 22.5X60 1.89M2","M2",1.89," $529.00 "," $279.89 ",46.77%," $149.00 ",
"Renujal","Descontinuado","Pisos ","Pisos Renujal ","CAS9403","PISO CANTABRIA 32 BEIGE 30X120 1.76M2 REC","M2",1.76," $599.00 "," $340.34 ",35.65%," $219.00 ",
"Renujal","Descontinuado","Pisos ","Pisos Renujal ","CAS9406","PISO RECT COUVET 22 SILVER 20X120 1.83M2","M2",1.83," $629.00 "," $343.72 ",30.47%," $239.00 ",
"Renujal","Descontinuado","Pisos ","Pisos Renujal ","CAS9404","PISO REC COUVET 22 ALMOND 20X120 1.83M2","M2",1.83," $629.00 "," $343.72 ",30.47%," $239.00 ",
"Renujal","Descontinuado","Pisos ","Pisos Renujal ","CAS9405","PISO RECT COUVET 22 GOLD 20X120 1.83M2","M2",1.83," $629.00 "," $343.72 ",30.47%," $239.00 ",
"Renujal","Descontinuado","Pisos ","Pisos Renujal ","CAS4523","VOSS 66 IVORY 60X60 5PZ 1.80M2 CALIDAD COMERCIAL ","M2",1.8," $425.00 "," $236.11 ",41.13%," $139.00 ",
"Renujal","Descontinuado","Pisos ","Pisos Renujal ","CAS94017","PISO YUNN 32 MOKA 30X120 1.76M2","M2",1.76," $629.00 "," $357.39 ",33.13%," $239.00 ",
"Castel","Descontinuado","Ceramica Castel","Kit Constanza","CAS7485","KIT CONSTANZA PRO (LV CONSTANZA PRO+MONOM ALTO DAMASCO B)","PIEZA",1," $1,569.00 "," $1,569.00 ",10.83%," $1,399.00 ",
"Castel","Descontinuado","Ceramica Castel","Sanitario ","CAS7514","WC NEMESIS PRO","PIEZA",1," $4,065.00 "," $4,065.00 ",36.06%," $2,599.00 ",
"Castel","Descontinuado","Griferia ","Griferia","CAS462","MONOMANDO LAVABO BAJO OLIMPIA 6801V","PIEZA",1," $594.11 "," $594.11 ",24.42%," $449.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE160","LISTELO ALUM. PLATA BRILLO 10X12MM","PIEZA",1," $196.34 "," $196.34 ",49.58%," $99.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE138","LISTELO ALUM. 10X25 PLATA BRILLO","PIEZA",1," $185.87 "," $185.87 ",41.36%," $109.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE166","PELDAÑO ALUMINIO INT. 20MM PLATA","PIEZA",1," $236.33 "," $236.33 ",53.88%," $109.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE164","PERFIL DE ALUMINIO (T) A20 PLATA BRILLO 10MLX2.44M","PIEZA",1," $143.25 "," $143.25 ",23.91%," $109.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE50","PERFIL DE ALUMINIO GOLD MATT 2.44X10","PIEZA",1," $143.25 "," $143.25 ",32.98%," $96.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE02","PERFIL DE ALUMINIO BRONZE POLISHED 2.44X10ML","PIEZA",1," $143.25 "," $143.25 ",32.98%," $96.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE49","PERFIL DE ALUMINIO GOLD POLISHED 2.44X10","PIEZA",1," $143.25 "," $143.25 ",32.98%," $96.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE53","PERFIL DE ALUMINIO CHAMPAGNE MATT 2.44X10","PIEZA",1," $143.25 "," $143.25 ",32.98%," $96.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE162","PERFIL DE ALUMINIO MARFIL 10.5MM","PIEZA",1," $143.25 "," $143.25 ",32.98%," $96.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE218","PERFIL ALUMINIO COFFEE MATE 10 MM X 2.44 M","PIEZA",1," $143.25 "," $143.25 ",32.98%," $96.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE51","PERFIL DE ALUMINIO BRONZE MATT 2.44X10","PIEZA",1," $143.25 "," $143.25 ",32.98%," $96.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE21800","PERFIL ALUMINIO ROSE GOLD MATE 10MM X 2.44M","PIEZA",1," $143.25 "," $143.25 ",32.98%," $96.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE159","LISTELO ALUM. BRONCE BRILLO 10X12MM","PIEZA",1," $196.34 "," $196.34 ",39.39%," $119.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE167","PELDAÑO ALUMINIO INT. 20MM BRONCE","PIEZA",1," $236.33 "," $236.33 ",15.80%," $199.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE165","PERFIL DE ALUMINIO (T) A20 BRONCE BRILLO 10MLX2.44M","PIEZA",1," $143.25 "," $143.25 ",32.98%," $96.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE183","PERFIL DE ALUMINIO ROSE GOLD 10 MM X 2.44 M","PIEZA",1," $143.25 "," $143.25 ",44.85%," $79.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE52","PERFIL DE ALUMINIO CHAMPAGNE POLISHED 2.44X10","PIEZA",1," $143.25 "," $143.25 ",44.85%," $79.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE137","LISTELO ALUM 10X25 MM. BRONCE BRILLO","PIEZA",1," $185.87 "," $185.87 ",30.60%," $129.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE163","PERFIL DE ALUMINIO MARRON 10.5MM","PIEZA",1," $99.32 "," $99.32 ",20.46%," $79.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE154","PERFIL DE ALUMINIO 10X12 MM  PLATA BRILLO","PIEZA",1," $196.34 "," $196.34 ",59.76%," $79.00 ",
"Greda","Descontinuado","Perfiles","Perfiles Greda","GRE158","ZOCLO DE ALUMINO COLOR BRONCE 7CM X 2.44M","PIEZA",1," $396.00 "," $396.00 ",80.05%," $79.00 ",
