"Proveedor","Codigo","Descripcion ","Metraje","Formato","Precio sistema Caja","Precio Regular M2","Descuento autorizado Oferta Final ","Oferta Final M2 ","Precio M2 con complementos","Comentarios"
"Neostone","NEOS322","DIAMOND BLACK GLOSSY 10X20 1M2 (50 PZ)",1,"10X20"," $579.00 "," $579.00 ",6.9085%," $539.00 ",,
"Neostone","NEOS452","DIAMOND BLACK MATT10X20 1M2 (50 PZ)",1,"10X20"," $579.00 "," $579.00 ",6.9085%," $539.00 ",,
"Neostone","NEOS323","DIAMOND WHITE GLOSSY 10X20 1M2 (50 PZ)",1,"10X20"," $579.00 "," $579.00 ",6.9085%," $539.00 ",,
"Neostone","NEOS451","DIAMOND WHITE MATT 10X20 1M2 (50 PZ)",1,"10X20"," $579.00 "," $579.00 ",6.9085%," $539.00 ",,
"Neostone","NEOS361","SAN MARINO PL 120X120 2.88 M2",2.88,"120X120"," $2,327.00 "," $807.99 ",27.1027%," $589.00 ",,
"Neostone","NEOS109","ARABELL ELITE 120X240 2.88 M2",2.88,"120X240"," $3,308.69 "," $1,148.85 ",13.0435%," $999.00 ",,
"Neostone","NEOS519","CARACARA WHITE 120X240 2.88M2",2.88,"120X240"," $3,308.69 "," $1,148.85 ",13.0435%," $999.00 ",,
"Neostone","NEOS518","CARRARA WHITE 120x240 2.88M2",2.88,"120X240"," $3,308.69 "," $1,148.85 ",13.0435%," $999.00 "," $499.00 ","Hasta agotar existencias"
"Neostone","NEOS111","BLACK SYMPHONY 120X240 2.88 M2",2.88,"120X240"," $4,277.00 "," $1,485.07 ",30.0369%," $1,039.00 ",,
"Neostone","CALACATTA 120X240","CALACATTA ELITE 120X240 PUL. 2.88 MTS",2.88,"120X240"," $4,277.00 "," $1,485.07 ",30.0369%," $1,039.00 ",,
"Neostone","NEOS314","MONET WHITE 120X240 2.88M2",2.88,"120X240"," $4,277.00 "," $1,485.07 ",30.0369%," $1,039.00 ",,
