"Proveedor","Estatus","Categoría","Subcategoria","Codigo","Descripcion ","Udm","Metraje","Formato","Tipo","Tipologia ","Color","Acabado","Corte","Precio sistema Caja","Precio Regular M2","Descuento autorizado Oferta Final ","Oferta Final M2 ","Precio M2 con complementos"
"Vitromex","Master","Pisos ","Pisos Vitromex",520256440010061,"PISO ROMA HUESO 37X37 CM 2.11 M2","M2",2.11,"37x37","Cerámico","Marmol","Beige","Mate","No Rectificado"," $309.00 "," $146.45 ",18.74%," $119.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520256440011061,"PISO ROMA GRIS 37X37 CM 2.11 M2/CAJA","M2",2.11,"37x37","Cerámico","Marmol","Gris","Mate","No Rectificado"," $309.00 "," $146.45 ",18.74%," $119.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520256440026061,"PISO ROMA ARENA 37X37CM 2.11M2/CAJA","M2",2.11,"37x37","Cerámico","Marmol","Beige","Mate","No Rectificado"," $309.00 "," $146.45 ",18.74%," $119.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex","520256427010131LOT","MURO ROMA HUESO 20.1X30.2 CM 1.82 M2/CAJA","M2",1.82,"20.1x30.2","Cerámico","Marmol","Beige","Mate","No Rectificado"," $289.00 "," $158.79 ",18.76%," $129.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520256427011131,"MURO ROMA GRIS 20.1X30.2 CM 1.82 M2/CAJA","M2",1.82,"20.1x30.2","Cerámico","Marmol","Gris","Mate","No Rectificado"," $289.00 "," $158.79 ",18.76%," $129.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex","520256427026131LOT","MURO ROMA ARENA 20.1X30.2 CM 1.82 M2/CAJA","M2",1.82,"20.1x30.2","Cerámico","Marmol","Beige","Mate","No Rectificado"," $289.00 "," $158.79 ",18.76%," $129.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",521606425007901,"PISO BRUMA BLANCO 35.7X35.7 1.78 M2","M2",1.78,"35.7x35.7","Cerámico","Piedra","Gris","Brillante","No Rectificado"," $299.00 "," $167.98 ",17.25%," $139.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522910425028901,"PISO MILA BEIGE35.7x35.7 1.78 M2","M2",1.78,"35.7x35.7","Cerámico","Marmol","Beige","Brillante","No Rectificado"," $299.00 "," $167.98 ",17.25%," $139.00 "," $-   "
"Daltile","Master","Pisos ","Pisos Daltile","GZ3515151P7","GZ35 37x37cm Navia Beige 1a. Cal  2.11M2","M2",2.11,"37x37","Cerámico","Marmol","Beige","Brillante","No Rectificado"," $389.00 "," $184.36 ",21.35%," $145.00 "," $135.00 "
"Daltile","Master","Pisos ","Pisos Daltile","GZ3615151P7","GZ36 37x37cm Navia Gris 1a. Cal 2.11M2","M2",2.11,"37x37","Cerámico","Marmol","Gris","Brillante","No Rectificado"," $389.00 "," $184.36 ",21.35%," $145.00 "," $135.00 "
"Vitromex","Master","Pisos ","Pisos Vitromex","520963427010131LOT","MURO ASPEN HUESO 20.1X30.2CM 1.82M2/CAJA","M2",1.82,"20.1x30.2","Cerámico","Marmol","Beige","Mate","No Rectificado"," $329.00 "," $180.77 ",17.57%," $149.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex","520963425010261LOT","PISO ASPEN HUESO 35.7X35.7 CM 1.78 M2","M2",1.78,"35.7x35.7","Cerámico","Marmol","Beige","Mate","No Rectificado"," $329.00 "," $184.83 ",19.39%," $149.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520963425007261,"PISO ASPEN BLANCO 35.7X35.7 CM 1.78 M2/CAJA","M2",1.78,"35.7x35.7","Cerámico","Marmol","Blanco","Mate","No Rectificado"," $329.00 "," $184.83 ",19.39%," $149.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522593425284261,"PISO COSALA HAYA 35.7X35.7 CM 1.78 M2/CAJA","M2",1.78,"35.7x35.7","Cerámico","Madera","Café","Brillante","No Rectificado"," $329.00 "," $184.83 ",19.39%," $149.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522595425007261,"PISO XILITLA BLANCO 35.7X35.7 CM 1.78 M2/CAJA","M2",1.78,"35.7x35.7","Cerámico","Monocolor","Blanco","Brillante","No Rectificado"," $329.00 "," $184.83 ",19.39%," $149.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522924440011061,"PISO MARISMA NEGRO 37x37 CM 2.11 M2/CAJA","M2",2.11,"37x37","Cerámico","Marmol","Negro","Brillante","No Rectificado"," $429.00 "," $203.32 ",26.72%," $149.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520906025010031,"PISO ROMA HUESO 40.3X40.3 CM 1.62 M2","M2",1.62,"40.3x40.3","Cerámico","Marmol","Beige","Mate","No Rectificado"," $299.00 "," $184.57 ",19.27%," $149.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520906025026131,"PISO ROMA GRIS 40.3X40.3 CM 1.62 M2 CAJA","M2",1.62,"40.3x40.3","Cerámico","Marmol","Gris","Mate","No Rectificado"," $299.00 "," $184.57 ",19.27%," $149.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",520906025026031,"PISO ROMA ARENA 40.3X40.3 CM 1.62 M2 CAJA","M2",1.62,"40.3x40.3","Cerámico","Marmol","Beige","Mate","No Rectificado"," $299.00 "," $184.57 ",19.27%," $149.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522676325343061,"PISO CHAPALA FRESNO 18X60.6 CM 1.64 M2/CAJA","M2",1.64,"18x60.6","Cerámico","Madera","Beige","Mate","No Rectificado"," $379.00 "," $231.10 ",26.87%," $169.00 "," $149.00 "
"Vitromex","Master","Pisos ","Pisos Vitromex",522676325074061,"PISO CHAPALA PINO 18X60.6 CM 1.64 M2/CAJA","M2",1.64,"18x60.6","Cerámico","Madera","Beige","Mate","No Rectificado"," $379.00 "," $231.10 ",26.87%," $169.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522676325863061,"PISO CHAPALA ALBINO 18X60.6 CM 1.64 M2/CAJA","M2",1.64,"18x60.6","Cerámico","Madera","Gris","Mate","No Rectificado"," $379.00 "," $231.10 ",26.87%," $169.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522676325111061,"PISO CHAPALA MIEL 18X60.6 CM 1.64 M2/CAJA","M2",1.64,"18x60.6","Cerámico","Madera","Beige","Mate","No Rectificado"," $379.00 "," $231.10 ",26.87%," $169.00 "," $-   "
