"Proveedor","Estatus","Categoría","Subcategoria","Codigo","Descripcion","Udm","Medida","Color","Precio sistema","Descuento ","Precio autorizado","Comentarios"
"Redtools","Master","Herramientas","Herramientas",,"REDTOOLS",,,,,20.00%,,
"Aquaplas","Master","Plomeria ","Tinacos ","CMX200","TINACO TRICAPA NEGRO 750 LT","LT",750,"Negro"," $2,999.00 ",21.34%," $2,359.00 ",
"Aquaplas","Master","Plomeria ","Tinacos ","CMX26","TINACO TRICAPA NEGRO 450 LT BASICO","LT",450,"Negro"," $2,229.00 ",28.26%," $1,599.00 ",
"Aquaplas","Master","Plomeria ","Tinacos ","CMX171","TINACO TRICAPA NEGRO 1100 LT","LT",1100,"Negro"," $3,199.00 ",26.26%," $2,359.00 ",
"Aquaplas","Master","Plomeria ","Tinacos ","CMX42","TINACO TRICAPA BEIGE 750 LT BASICO","LT",750,"Beige"," $3,119.00 ",25.33%," $2,329.00 ",
"Machen ","Master",,"Tarjas ","MCKENDRA","TARJA MULTIFUNCIONAL KENDRA","Pieza ",,," $9,579.00 ",16.18%," $8,029.00 ",
"Machen ","Master",,"Tarjas ","MCKENDALL","TARJA MULTIFUNCIONAL KENDALL","Pieza ",,," $8,709.00 ",16.19%," $7,299.00 ",
"Machen ","Master","Muebles ","Mueble de Baño","MCPLATINO","MUEBLE CABINET PLATINO","Pieza ",,," $7,269.00 ",15.00%," $6,178.65 ",
"Machen ","Master","Muebles ","Mueble de Baño","MCDALISO","MUEBLE ALUMINIO DALISO","Pieza ",,," $4,249.00 ",15.00%," $3,611.65 ",
"Machen ","Master","Muebles ","Mueble de Baño","MCUKESH","Mueble Aluminio Ukesh","Pieza ",,," $3,239.00 ",15.00%," $2,753.15 ","Agotado con proveedor, llega hasta diciembre "
"Machen ","Master","Muebles ","Mueble de Baño","MCAGNI","MUEBLE CABINET AGNI","Pieza ",,," $8,269.00 ",15.00%," $7,028.65 ","Agotado con proveedor, llega hasta diciembre "
"Machen ","Master","Muebles ","Mueble de Baño","MCRUBI","MUEBLE CABINET RUBI (ESPEJO LED RECTANGULAR)","Pieza ",,," $12,949.00 ",15.00%," $11,006.65 ","Agotado con proveedor, llega hasta diciembre "
