"Proveedor","Estatus","Categoría","Subcategoria","Codigo","Descripcion","Udm","Presentación","Color","Precio sistema","Descuento autorizado","Precio venta Final","Comentarios"
"Cemix","Master","Polvos","Adhesivo","CMX77"," ADHESIVO PORCELANICO GRIS 20 KG","Saco","20kg","Gris"," $299.00 ",43.14%," $170.00 ",
"Cemix","Master","Polvos","Adhesivo","CMX115"," BLANCO CERAMICO SACO 20KG","Saco","20kg","Blanco"," $259.00 ",30.50%," $180.00 ",
"Cemix","Master","Polvos","Adhesivo","CMX05"," BLANCO UNIVERSAL 20KG","Saco","20kg","Blanco"," $309.00 ",25.89%," $229.00 ","8X7"
"Cemix","Master","Polvos","Adhesivo","CMX02"," PEGAPISO Y MARMOL BLANCO  20 KG","Saco","20kg","Blanco"," $239.00 ",29.29%," $169.00 ",
"Cemix","Master","Polvos","Adhesivo","CMX01"," PEGAZULEJO BLANCO 20KG","Saco","20kg","Blanco"," $219.00 ",22.83%," $169.00 ","6X5"
"Cemix","Master","Polvos","Adhesivo","CMX202"," PORCELANICO GRIS PSP 20KG","Saco","20kg","Gris"," $299.00 ",26.76%," $219.00 ",
"Cemix","Sobrepedido ","Polvos","Recubrimientos reforzados","CMX691","ADEBLOK PLUS AP 25 KG","Saco","25kg",," $229.00 ",26.20%," $169.00 ",
"Niasa","Master","Polvos","Adhesivo","PALBAZUL","ADHESIVO PARA ALBERCA AZUL 20 KG","Saco","20kg","Azul"," $579.00 ",13.13%," $503.00 ",
"Niasa","Master","Polvos","Adhesivo","PALBBLC","ADHESIVO PARA ALBERCA BLANCO 20 KG","Saco","20kg","Blanco"," $579.00 ",13.13%," $503.00 ",
"Niasa","Master","Polvos","Adhesivo","PMARBLC","ADHESIVO PEGAMARMOL BLANCO 20 KG","Saco","20kg","Blanco"," $209.00 ",16.27%," $175.00 ",
"Niasa","Master","Polvos","Adhesivo","PAZBLC","ADHESIVO PEGAZULEJO BLANCO 20 KG","Saco","20kg","Blanco"," $229.00 ",16.16%," $192.00 ",
"Niasa","Master","Polvos","Adhesivo","PVIBLC","ADHESIVO PISO SOBRE PISO PEGAVITRO BLANCO 20 KG","Saco","20kg","Blanco"," $339.00 ",15.93%," $285.00 ",
"Niasa","Master","Polvos","Adhesivo","POBLC10","ADHESIVO POLIMOR BLANCO 10 KG","Saco","10kg","Blanco"," $359.00 ",13.93%," $309.00 ",
"Niasa","Master","Polvos","Adhesivo","POLBLC","ADHESIVO POLIMOR BLANCO 20 KG","Saco","20kg","Blanco"," $709.00 ",12.83%," $618.00 ",
"Niasa","Master","Polvos","Adhesivo","PTRAD","ADHESIVO TRADICIONAL C-PEGA BLANCO 20 KG","Saco","20kg","Blanco"," $169.00 ",17.75%," $139.00 ",
"Niasa","Master","Polvos","Especiales","BFG","BLUE FENCE GALON","Galón","3.78 lts",," $1,039.00 ",11.55%," $919.00 ",
"Niasa","Master","Polvos","Boquillas","BS","BOQUICHAMP SELLADO CON ARENA 10 KG","Saco","10kg",," $249.00 ",16.87%," $207.00 ",
