"Proveedor","Estatus","Categoría","Subcategoria","Codigo","Descripcion ","Metraje","Formato"
"Castel","Master","Pisos ","Pisos Castel","CAS94016","PISO VENETIAN BLANCO 60X60 1.44M2",1.44,"60x60"
"Castel","Master","Pisos ","Pisos Castel","CAS1240","PISO VITRIFICADO PULPIS GREY 60X60 1.44 M2",1.44,"60x60"
"Castel","Master","Pisos ","Pisos Castel","CAS2228","PISO TORONTO GREY  60X120 CAJA 1.44M2",1.44,"60x120"
"Castel","Master","Pisos ","Pisos Castel","CAS137","PISO PORCELANICO VITRIFICADO DIAMOND CARRARA 60X60 1.44 M2",1.44,"60x60"
"Castel","Master","Pisos ","Pisos Castel","CAS739","ORCHESTRA GOLD 60X120 1.44 M2",1.44,"60x120"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS20008","PISO CARRARA GOLD 47X47 1.99M2",1.99,"47x47"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100178","PISO EVOKE GREY 60X120 1.42M2",1.42,"60x120"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100207","PISO MINIMAL 62 SILVER 60X120 2PZ 1.42 M2",1.42,"60x120"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100137","FRESNO 26 CHERRY 22.5X60  14PZ   1.89M2",1.89,"22.5x60"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100167","EVOKE 62 BLACK 60X120 2 PZ  1.42 M2",1.42,"60x120"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS10024501","PISO GEO 66 IVORY 60X60  1.80M2",1.8,"60x60"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS774","DOLOMITTI 66 BLACK 60X60  5PZ  1.80M2",1.8,"60X60"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100188","PISO VOLCANO 62 MARFIL 60X120 2PZ 1.42 M2",1.42,"60x120"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS7693","PISO AMAZONAS CHERRY 22.5X60 1.89M2",1.89,"22.5x60"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100116","PISO ARES SATINADO 60X120 2PZ 1.42M2",1.42,"60x120"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS2511","PISO MARSELLA 62 BRILLO 60X120 2 PZS 1.42 M2",1.42,"60x120"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100184","PISO FRESNO 26 NUEZ 22.5X60  14PZ   1.89M2",1.89,"22.5x60"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100118","PISO IBIZA 62 GOLD SATINADO 60X120 2PZ 1.42M2",1.42,"60x120"
